name,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type)
Meghana Foods,Yes,No,4.4/5,4401,Jayanagar,Casual Dining,"Chicken Boneless Biryani, Hyderabadi Biryani, Paneer Biryani, Tandoori Chicken, Vegetable Biryani, Chicken Kebab, Raita","Biryani, North Indian, Chinese",600,Delivery
Krishna Sagar,No,No,3.5/5,31,Banashankari,Quick Bites,,North Indian,200,Delivery
Dessert Rose,No,No,3.5/5,7,Banashankari,Dessert Parlor,,Desserts,500,Delivery
Chickpet Donne Biryani House,No,No,3.7/5,21,Banashankari,Quick Bites,,Biryani,250,Delivery
Me And My Cake,No,No,,0,Banashankari,Delivery,,"Bakery, Desserts",500,Delivery
Sunsadm,No,No,,0,Banashankari,"Takeaway, Delivery",,South Indian,400,Delivery
Annapooraneshwari Mess,No,No,,0,Banashankari,Mess,,South Indian,200,Delivery
Thanco's Natural Ice Creams,No,No,3.2/5,9,Banashankari,Dessert Parlor,,Ice Cream,300,Delivery
Nandhini Deluxe,No,No,2.6/5,283,Banashankari,Casual Dining,"Biryani, Chicken Guntur, Thali, Buttermilk, Manchurian",North Indian,600,Delivery
Vi Ra's Bar and Restaurant,No,No,3.3/5,62,Banashankari,Bar,Chilli Chicken,"South Indian, North Indian, Chinese",800,Delivery
Kaggis,No,No,3.8/5,64,Banashankari,Quick Bites,,"Fast Food, Bakery",250,Delivery
Ayda Persian Kitchen,No,No,3.7/5,39,Banashankari,Casual Dining,,"North Indian, Iranian",950,Delivery
Chatar Patar,No,No,3.7/5,65,Banashankari,Quick Bites,"Panipuri, Chaat, Noodles, Dahi Bhalle","Fast Food, Street Food",300,Delivery
Polar Bear,Yes,No,3.8/5,71,Basavanagudi,Dessert Parlor,Hot Chocolate Fudge,"Ice Cream, Desserts, Beverages, Sandwich",400,Delivery
Kidambi's Kitchen,No,No,3.5/5,52,Banashankari,Quick Bites,Rooftop Ambience,South Indian,300,Delivery
Mane Thindi,No,No,3.7/5,130,Banashankari,Quick Bites,"Coffee, Tea, Kesari Bath, Open Dosa, Vada, Idli, Bread Dosa",South Indian,200,Delivery
Kotian Karavali Restaurant,No,No,3.5/5,10,Banashankari,Quick Bites,,"South Indian, Biryani",300,Delivery
Floured-Baked With Love,No,No,3.8 /5,45,Banashankari,"Takeaway, Delivery","Cup Cake, Chocolate Cake",Bakery,400,Delivery
CAFE NOVA,No,No,3.2/5,11,Banashankari,Cafe,,"Cafe, Bakery",600,Delivery
Cakes & Slices,No,No,3.5/5,13,Banashankari,Bakery,,"Bakery, Desserts",300,Delivery
Spice 9,No,No,3.4/5,8,Banashankari,Quick Bites,,"Biryani, North Indian, Chinese, Fast Food",300,Delivery
Coffee Shopee,No,No,,0,Banashankari,"Takeaway, Delivery",,Beverages,250,Delivery
Naveen Kabab & Biriyani Mane,No,No,3.2/5,9,Banashankari,Quick Bites,,Biryani,300,Delivery
Katriguppe Donne Biryani,No,No,3.2/5,4,Banashankari,Quick Bites,,North Indian,300,Delivery
Hari Super Sandwich,No,No,NEW,0,Banashankari,"Takeaway, Delivery",,"Sandwich, Pizza, Beverages",200,Delivery
Atithi Point Ande Ka Funda,No,No,3.1/5,29,Banashankari,Quick Bites,,North Indian,150,Delivery
Just Bake,No,No,3.4/5,8,Banashankari,Bakery,,"Bakery, Desserts",400,Delivery
Dharwad Line Bazaar Mishra Pedha,No,No,,0,Banashankari,Dessert Parlor,,Mithai,150,Delivery
Cake Bite,No,No,,0,Banashankari,Bakery,,Bakery,300,Delivery
Aarush's Food Plaza,No,No,,0,Banashankari,Quick Bites,,"North Indian, Street Food",200,Delivery
Wood Stove,No,No,,0,Banashankari,"Takeaway, Delivery",,South Indian,150,Delivery
Kulfi & More,No,No,,0,Banashankari,Dessert Parlor,,"Ice Cream, Desserts, Juices",150,Delivery
Kannadigas Karavali,No,No,,0,Banashankari,Quick Bites,,"Mangalorean, South Indian, North Indian",250,Delivery
K27 - The Pub,No,No,3.1/5,30,Banashankari,Bar,,"Chinese, North Indian","1,000",Delivery
Bengaluru Coffee House,Yes,No,4.1/5,201,Banashankari,Quick Bites,"Masala Dosa, Tirupathi Pongal, Filter Coffee, Vada, Kharabath, Kali Dosa, Rava Idli","South Indian, North Indian, Chinese, Street Food",300,Delivery
New Mangalore Lunch Home,No,No,3.3/5,7,Banashankari,Quick Bites,,"Mangalorean, South Indian, North Indian",200,Delivery
Coffee Bytes,No,No,3.1/5,6,Banashankari,Quick Bites,,"Fast Food, South Indian",100,Delivery
Parjanya Chat Zone,No,No,3.3/5,17,Banashankari,Quick Bites,,"Street Food, Fast Food",200,Delivery
Kwality Wall's Swirl's Happiness Station,No,No,2.9/5,25,Banashankari,Dessert Parlor,,"Ice Cream, Desserts",200,Delivery
Soms Kitchen & Bakes,No,No,,0,Banashankari,Delivery,,"South Indian, North Indian, Continental",400,Delivery
Banashankari Nati Style,No,No,,0,Banashankari,Quick Bites,,"Biryani, Chinese, South Indian, North Indian",350,Delivery
Ruchi Maayaka,No,No,3.3/5,8,Banashankari,Delivery,,South Indian,100,Delivery
Mohitesh Hut Roll,No,No,,0,Banashankari,Quick Bites,,"Rolls, North Indian",150,Delivery
Sri Basaveshwar Jolada Rotti Oota,No,No,,0,Banashankari,Quick Bites,,South Indian,150,Delivery
Roll Magic Fast Food,No,No,NEW,0,Banashankari,"Takeaway, Delivery",,"Biryani, Rolls, Chinese",200,Delivery
Foodlieious Multi Cuisine,No,No,NEW,0,Banashankari,Quick Bites,,North Indian,100,Delivery
Thanishka Nati And Karavali Style,No,No,NEW,0,Banashankari,Quick Bites,,"Biryani, Fast Food",400,Delivery
Swathi Cool Point,No,No,,0,Banashankari,Beverage Shop,,"Beverages, Juices",200,Delivery
Kaumudis Juoice,No,No,,0,Banashankari,"Beverage Shop, Quick Bites",,"Beverages, Fast Food, Juices",150,Delivery
Amma - Manae,No,No,,0,Banashankari,"Takeaway, Delivery",,South Indian,400,Delivery
Sri Sai Tiffannies,No,No,,0,Banashankari,Quick Bites,,"South Indian, Chinese",150,Delivery
Hotel Andhra Speices,No,No,,0,Banashankari,Quick Bites,,Andhra,250,Delivery
Sri Murari Family Restaurant,No,No,,0,Banashankari,Quick Bites,,Biryani,250,Delivery
Aramane Donne Biriyani,No,No,,0,Banashankari,Quick Bites,,"South Indian, Biryani",150,Delivery
Darkolates,No,No,,0,Banashankari,Confectionery,,Desserts,200,Delivery
Swaada Healthy Kitchen,No,No,,0,Banashankari,"Quick Bites, Beverage Shop",,"Healthy Food, Juices, Sandwich",350,Delivery
Gawdaru Mane Beriyani,No,No,,0,Banashankari,Quick Bites,,"South Indian, Biryani",300,Delivery
Melting Melodies,No,No,NEW,0,Banashankari,"Takeaway, Delivery",,"Pizza, Fast Food",100,Delivery
New Indraprasta,No,No,NEW,0,Banashankari,Quick Bites,,"South Indian, Beverages",150,Delivery
Anna Kuteera,Yes,No,4.0/5,771,Banashankari,Casual Dining,"Panner Tikka, Kulfi, Coffee, Pav Bhaji, Carrot Halwa, Fried Rice, Set Dosa","South Indian, North Indian, Chinese",450,Delivery
Darbar,No,No,3.0/5,98,Banashankari,Bar,"Paneer Tikka, Dal Kichadi, French Fries","North Indian, Chinese",800,Delivery
Vijayalakshmi,Yes,No,3.9/5,47,Basavanagudi,Quick Bites,,South Indian,200,Delivery
Sri Udupi Food Hub,Yes,Yes,4.1/5,175,Jayanagar,Casual Dining,"Filter Coffee, Masala Dosa, Idli, Vada","South Indian, North Indian, Chinese, Beverages",500,Delivery
Udupi Upahar,Yes,No,3.8/5,58,Banashankari,Quick Bites,,"South Indian, Chinese, North Indian, Juices",300,Delivery
House Of Kebabs,Yes,No,3.8/5,540,Basavanagudi,Casual Dining,"Rolls, Shawarma, Butter Chicken, Mutton Biryani, Lahori Chicken, Chicken Roll, Grape Juice","North Indian, Kebab, Biryani, Chinese",650,Delivery
Roll N Rock,Yes,No,3.8/5,124,Kumaraswamy Layout,Quick Bites,"Rolls, Paratha, Chicken Biryani","Chinese, North Indian, Mughlai, Rolls",400,Delivery
BOX8- Desi Meals,Yes,No,4.1/5,340,Banashankari,"Takeaway, Delivery","Paratha, Mughlai Chicken, Masala Lemonade, Butter Chicken, Rajma, Sandwich, Salad","North Indian, Mughlai, Fast Food",500,Delivery
KFC,Yes,No,3.8/5,505,Banashankari,Quick Bites,"Burgers, French Fries","Burger, Fast Food",450,Delivery
Bitez,No,No,NEW,0,Banashankari,Quick Bites,,Fast Food,100,Delivery
Roll Over,Yes,No,4.1/5,438,Jayanagar,Dessert Parlor,"Rolls, Ice Cream Roll, Paan Ice Cream, Coffee, Vanilla Ice Cream, Chocolate Icecreams, Mississippi Mudpie","Desserts, Ice Cream, Beverages, Fast Food, Sandwich",500,Delivery
Imperial Restaurant,Yes,No,3.7/5,264,Mysore Road,Casual Dining,"Kadhai Paneer, Ghee Rice, Chicken Grill, Shawarma, Paratha, Biryani, Butter Chicken","North Indian, Chinese, Biryani, Beverages",750,Delivery
Lassi Shop,Yes,No,3.9/5,169,Kumaraswamy Layout,Beverage Shop,,"Beverages, Juices, Ice Cream",150,Delivery
The Fortuna,Yes,No,3.0/5,67,Kumaraswamy Layout,Quick Bites,,"North Indian, Chinese",250,Delivery
Wahab,Yes,No,3.7/5,97,Jayanagar,Quick Bites,"Chicken Biryani, Rolls","North Indian, Mughlai, Chinese",350,Delivery
Al Diwan Biryanis And More,Yes,No,3.3/5,12,Basavanagudi,"Takeaway, Delivery",,Biryani,300,Delivery
New Gowda's Fried Chicken,Yes,No,3.3/5,12,Banashankari,Quick Bites,,Biryani,300,Delivery
Canton,Yes,No,3.6/5,195,Jayanagar,Casual Dining,"Roast Pork, Tai Pai Chicken, Beer, Sweet Corn Chicken Soup, Masala Peanuts, Chinese Chop Suey, Chicken Lollipop","Chinese, Seafood, Biryani",800,Delivery
Diabetics Dezire Sugarless Sweets and Bakes,Yes,No,3.3/5,13,Basavanagudi,"Dessert Parlor, Sweet Shop",,"Desserts, Mithai",300,Delivery
The Blue Wagon - Kitchen,Yes,No,4.6/5,228,Jayanagar,Cafe,"Pizza, Nachos, Garlic Maggi, Burgers, Cheese Maggi, Bruschetta Bites, Sandwich","Cafe, Beverages",400,Delivery
HOT COFFEE,Yes,No,4.1/5,70,Basavanagudi,Quick Bites,,"South Indian, Chinese",150,Delivery
Patio 805,Yes,Yes,4.1/5,364,Jayanagar,Casual Dining,"Noodles, Laksa Soup, Coffee, Veg Fritters, Vegetarian, Babycorn Manchurian, Mango Salad","Thai, Vietnamese, Asian, Chinese","1,200",Delivery
Lassi Corner,Yes,No,3.7/5,107,Basavanagudi,Beverage Shop,Lassi,"Beverages, Ice Cream",150,Delivery
Sagar Deluxe,Yes,No,3.2/5,167,Kumaraswamy Layout,Quick Bites,"Coffee, Chaat","South Indian, North Indian, Chinese, Juices",300,Delivery
Kanti Sweets,Yes,No,4.0/5,115,Banashankari,Sweet Shop,,"Mithai, Street Food",400,Delivery
Vegetalia,Yes,No,3.7/5,27,Banashankari,"Takeaway, Delivery",,"Italian, Pizza",400,Delivery
Aramane Donne Biryani,Yes,No,3.5/5,57,Banashankari,Quick Bites,,Biryani,200,Delivery
Ande Ka Funda,Yes,No,3.8/5,120,Banashankari,Quick Bites,,"North Indian, Fast Food, Rolls",250,Delivery
Cake Ghar,Yes,No,3.8/5,15,Basavanagudi,Bakery,,Bakery,400,Delivery
Energy Addaa,Yes,No,4.2/5,64,Basavanagudi,Quick Bites,"Pizza, Nachos, Salads, Peri Peri Fries, Brownie, Pasta Alfredo, Spaghetti","Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",500,Delivery
Bhattara Bhojana,Yes,No,3.6/5,66,Banashankari,Quick Bites,,South Indian,150,Delivery
Tandoori Knight,Yes,No,3.0/5,290,Banashankari,Quick Bites,"Chicken Grill, Biryani, Roti, Chicken Masala","North Indian, Chinese, Biryani, Kebab",450,Delivery
Dev Sagar - Food Street,Yes,No,4.1/5,233,Basavanagudi,Quick Bites,"Chaat, Pav Bhaji, Dabeli, Vada Pav, Tawa Pulav, Panipuri, Malpua",Street Food,200,Delivery
Mitraa Da Pizza,Yes,No,3.8/5,115,Kumaraswamy Layout,Quick Bites,"Pizza, Burgers","Fast Food, Pizza",250,Delivery
Paradise Premium,Yes,No,3.1/5,119,Banashankari,Casual Dining,,"Biryani, Andhra, Hyderabadi, North Indian",700,Delivery
Grazers,Yes,Yes,3.9/5,291,Jayanagar,Cafe,"Burgers, Panneer Butter Masala, Pasta, Hot Dog, Fries, Cheesy Pizza, Potato Wedges","Cafe, Burger, Continental, Italian, Desserts",650,Delivery
Shakes Theory,Yes,No,4.5/5,155,Jayanagar,Beverage Shop,"Sandwiches, Thick Shakes, Paan Shake, Brownie Bomb, Fries, Spinach Corn Sandwich, Paneer Peri Peri","Beverages, Sandwich",300,Delivery
@Italy,Yes,No,4.1/5,305,Kumaraswamy Layout,Casual Dining,"Pizza, Pasta, Spinach Salsa, Garlic Bread, Lasagne, Bruschettas, Chocolate Bomb",Italian,700,Delivery
